self.round_id,multiplier,std_time,unix_time
1,1.26,2025-03-16 19:49:46,1742143786
2,617.29,2025-03-16 19:51:10,1742143870
3,4.79,2025-03-16 19:51:40,1742143900
4,1.14,2025-03-16 19:51:55,1742143915
5,4.14,2025-03-16 19:52:23,1742143943
6,1.0,2025-03-16 19:52:34,1742143954
7,1.1,2025-03-16 19:52:47,1742143967
8,1.2,2025-03-16 19:52:59,1742143979
9,404.3,2025-03-16 19:54:21,1742144061
10,16.4,2025-03-16 19:55:07,1742144107
11,1.71,2025-03-16 19:55:26,1742144126
12,1.4,2025-03-16 19:55:41,1742144141
13,12.96,2025-03-16 19:56:22,1742144182
14,4.24,2025-03-16 19:56:50,1742144210
15,5.52,2025-03-16 19:57:22,1742144242
16,2.75,2025-03-16 19:57:47,1742144267
17,1.87,2025-03-16 19:58:06,1742144286
18,1.54,2025-03-16 19:58:28,1742144308
19,1.75,2025-03-16 19:58:46,1742144326
20,4.46,2025-03-16 19:59:14,1742144354
21,3.67,2025-03-16 19:59:40,1742144380
22,1.38,2025-03-16 19:59:59,1742144399
23,1.59,2025-03-16 20:00:16,1742144416
24,2.39,2025-03-16 20:00:41,1742144441
25,1.06,2025-03-16 20:00:53,1742144453
26,1.09,2025-03-16 20:01:07,1742144467
27,29.47,2025-03-16 20:01:56,1742144516
28,1.54,2025-03-16 20:02:14,1742144534
29,2.99,2025-03-16 20:02:39,1742144559
30,3.94,2025-03-16 20:03:07,1742144587
31,1.52,2025-03-16 20:03:23,1742144603
32,5.54,2025-03-16 20:03:53,1742144633
33,2.6,2025-03-16 20:04:17,1742144657
34,1.88,2025-03-16 20:04:37,1742144677
35,4.68,2025-03-16 20:05:09,1742144709
36,2.39,2025-03-16 20:05:31,1742144731
37,2.55,2025-03-16 20:05:53,1742144753
38,12.24,2025-03-16 20:06:32,1742144792
39,1.86,2025-03-16 20:06:53,1742144813
40,1.04,2025-03-16 20:07:07,1742144827
41,1.04,2025-03-16 20:07:20,1742144840
42,4.61,2025-03-16 20:07:48,1742144868
43,1.41,2025-03-16 20:08:05,1742144885
44,1.29,2025-03-16 20:08:22,1742144902
45,8.95,2025-03-16 20:08:57,1742144937
46,2.21,2025-03-16 20:09:20,1742144960
47,4.1,2025-03-16 20:09:46,1742144986
48,1.4,2025-03-16 20:10:02,1742145002
49,5.47,2025-03-16 20:10:33,1742145033
50,1.2,2025-03-16 20:10:48,1742145048
51,1.09,2025-03-16 20:11:02,1742145062
52,10.14,2025-03-16 20:11:39,1742145099
53,1.91,2025-03-16 20:12:01,1742145121
54,1.1,2025-03-16 20:12:15,1742145135
55,2.57,2025-03-16 20:12:39,1742145159
56,1.59,2025-03-16 20:12:56,1742145176
57,1.75,2025-03-16 20:13:14,1742145194
58,2.66,2025-03-16 20:13:35,1742145215
59,2.14,2025-03-16 20:13:57,1742145237
60,1.34,2025-03-16 20:14:11,1742145251
61,2.02,2025-03-16 20:14:31,1742145271
62,2.32,2025-03-16 20:14:49,1742145289
63,1.51,2025-03-16 20:15:06,1742145306
64,1.12,2025-03-16 20:15:18,1742145318
65,2.38,2025-03-16 20:15:38,1742145338
66,3.94,2025-03-16 20:16:04,1742145364
67,1.06,2025-03-16 20:16:16,1742145376
68,1.69,2025-03-16 20:16:33,1742145393
